COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 11/09/2026 

DATOS DISPONIBLES EN LA BASE DE DATOS A: SEPTEMBER DE 2026; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN   : 13049 
 NOMBRE     : RANCHO LA SOLEDAD (CFE) 
 ESTADO     : HIDALGO 
 MUNICIPIO  : TULA DE ALLENDE 
 SITUACIÓN  : SUSPENDIDA 
 U. ADMNVA. : ORGANISMO DE CUENCA AGUAS DEL VALLE DE MÉXICO 
 CVE-OMM    :   
 LATITUD    : 20.06666667 ° 
 LONGITUD   : -99.26666667 ° 
 ALTITUD    : 2091 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1971-08-01	0	NULO	NULO	NULO
1972-10-21	0	4.4	25.1	9.1
1972-10-22	13.5	4	25.1	10.1
1972-10-23	0.5	4.6	21.6	11.1
1972-10-24	0	2.8	22.6	8.1
1972-10-25	0	4.9	24.1	10
1972-10-26	0	4.8	26.1	10.1
1972-10-27	0	4.8	28.1	10.6
1972-10-28	0	4.8	27.1	10.6
1972-10-29	0	4.4	26.1	10.1
1972-10-30	0	4.7	28.1	9.6
1972-10-31	0	4.4	26.6	11.5
1972-11-01	0	4.3	26.1	11.1
1972-11-02	0	5.3	24.1	8.1
1972-11-03	0	4	23.6	9.6
1972-11-04	0	4.5	22.1	9.6
1972-11-05	0	4.7	25.1	8.6
1972-11-06	0	5.1	25.1	8.6
1972-11-07	1.5	4.8	19.6	8.6
1972-11-08	0	3.9	21.1	5.6
1972-11-09	0	5	24.1	7.5
1972-11-10	0	4.3	22.1	7.1
1972-11-11	0	3.6	26.1	9
1972-11-12	5.5	4.6	25.1	10.5
1972-11-13	0	3.3	24.6	9.6
1972-11-14	0	4.8	21.1	9.6
1972-11-15	0	2.5	26.6	8.1
1972-11-16	0	3.7	23.6	10.5
1972-11-17	0	3.4	26.6	10.1
1972-11-18	0	3.6	27.1	11.1
1972-11-19	0.5	2.8	21.6	10.1
1972-11-20	0	3	23.1	8.6
1972-11-21	9.5	4.7	22.1	9.6
1972-11-22	0	6	17.1	9.6
1972-11-23	0	2.8	24.1	7.6
1972-11-24	0	4.6	24.6	9
1972-11-25	0	2.4	22.1	10
1972-11-26	0.5	1.1	24.6	10.1
1972-11-27	0	1.8	22.1	10.6
1972-11-28	1	3.1	20.1	9.6
1972-11-29	0	3	23.6	9.6
1972-11-30	0	2.7	20.6	7.6
1972-12-01	12	2.5	20.6	8.6
1972-12-02	0	2.6	20.1	8.1
1972-12-03	0	3.4	19.1	8.5
1972-12-04	0	3.5	23.1	10
1972-12-05	0	3.8	24.1	8.6
1972-12-06	0	3	22.6	8.6
1972-12-07	0	3.7	25.1	7.6
1972-12-08	0	4.5	24.6	8.1
1972-12-09	0	4.2	24.4	7.6
1972-12-10	0	4	24.1	6.6
1972-12-11	0	2.4	22.1	6.1
1972-12-12	0	4.4	21.1	7
1972-12-13	0	3.1	23.6	6.6
1972-12-14	0	3.7	24.6	7.1
1972-12-15	0	4.1	17.6	8.6
1972-12-16	0	1.3	5.6	0
1972-12-17	0.5	2.3	11.1	0
1972-12-18	0	1.7	16.6	1.5
1972-12-19	0	5.4	21.6	4.5
1972-12-20	0	4	21.6	6
1972-12-21	0	5.4	17.6	7.5
1972-12-22	0	4.2	21.1	0.1
1972-12-23	0	4.4	23.1	1.5
1972-12-24	0	5.5	17.6	2.6
1972-12-25	0	3.5	21.1	1.1
1972-12-26	0	4.3	12.6	2.5
1972-12-27	0	3.8	12.6	2.1
1972-12-28	0	3.7	23.6	5
1972-12-29	0	5.1	23.1	6.1
1972-12-30	0	4.7	23.6	6.5
1972-12-31	0	4	25.1	7.6
1973-01-01	0	5.4	26.1	7.1
1973-01-02	0	2.8	23.6	5.6
1973-01-03	0	5.6	24.1	7
1973-01-04	0	4.5	24.1	6.1
1973-01-05	0	4.5	25.1	7
1973-01-06	0	3.1	27.1	6.6
1973-01-07	0	5.7	25.1	7
1973-01-08	0	3.1	24.1	7.6
1973-01-09	0	2.5	22.1	7.6
1973-01-10	0	0.8	16.1	5.6
1973-01-11	0	5.7	20.6	6.1
1973-01-12	0	2.8	15.1	0.6
1973-01-13	0	3.8	18.6	0
1973-01-14	0	1.7	15.1	0.1
1973-01-15	0	4.1	18.1	0.1
1973-01-16	0	4.7	19.1	0.1
1973-01-17	0	5.9	20.1	0.5
1973-01-18	0	4.3	22.1	3
1973-01-19	0	6.6	25.1	1.6
1973-01-20	0	7.1	23.6	2
1973-01-21	0	7.6	24.1	4.6
1973-01-22	0	6.1	24.1	3.6
1973-01-23	0	4.9	26.1	4.6
1973-01-24	0	4.8	25.1	1.6
1973-01-25	0	5.8	27.6	2
1973-01-26	0	6.2	26.1	5.1
1973-01-27	0	5.7	26.1	6.1
1973-01-28	0	3.4	17.6	2.6
1973-01-29	0	4.4	15.6	-2
1973-01-30	0	4.7	24.1	-2
1973-01-31	0	7.2	26.6	1.5
1973-02-01	0	5	24.1	6.1
1973-02-02	0	3.7	17.6	4.6
1973-02-03	0	2.9	18.6	-2.1
1973-02-04	0	10	23.6	-1.1
1973-02-05	0	7.1	26.6	4.1
1973-02-06	0	7.6	28.6	6.5
1973-02-07	0	7	29.1	7.1
1973-02-08	0	10	28.1	8.1
1973-02-09	0	7.4	23.6	8.1
1973-02-10	0	5	21.1	1.6
1973-02-11	0	6	25.1	2.6
1973-02-12	0	5.9	24.6	5.1
1973-02-13	0	7.3	26.6	5.6
1973-02-14	0	6.3	24.6	5.1
1973-02-15	0	6.4	23.1	3.6
1973-02-16	0	2.8	19.1	4.6
1973-02-17	0	8.1	26.6	6.1
1973-02-18	0	3.6	22.1	6.1
1973-02-19	0	4.2	21.1	11.6
1973-02-20	0	4.5	19.1	5.1
1973-02-21	0	4.1	21.6	6.1
1973-02-22	0	6.9	29.6	6.1
1973-02-23	0	7.5	29.1	7.5
1973-02-24	0	4.6	29.6	5.6
1973-02-25	0	7.5	26.6	6.1
1973-02-26	0	6.2	23.6	7.1
1973-02-27	0	4.2	19.6	9.5
1973-02-28	0	5.9	23.1	7.1
1973-03-01	0	5.6	25.6	7.1
1973-03-02	0	7.2	26.6	8.6
1973-03-03	0	9.6	26.6	9.6
1973-03-04	0.1	5.6	28.1	3.6
1973-03-05	0	11.4	29.6	9.6
1973-03-06	0	8.6	28.1	7.6
1973-03-07	0	7.9	31.1	7.1
1973-03-08	0	10.1	30.1	10
1973-03-09	0	12.1	30.6	8.6
1973-03-10	0	10.9	30.6	6.6
1973-03-11	0	5.4	30.6	7.1
1973-03-12	0	8	33.1	6.6
1973-03-13	0	8.6	32.1	9.6
1973-03-14	0	7.5	32.6	8.6
1973-03-15	0	8.9	32.6	10.1
1973-03-16	0	7.3	29.1	8.1
1973-03-17	0	5.6	21.1	5.1
1973-03-18	0	8.1	29.1	5.1
1973-03-19	0	7.4	29.1	9.6
1973-03-20	0	8.2	30.1	10.6
1973-03-21	0	5.8	28.1	11.5
1973-03-22	0	7.9	29.1	10.1
1973-03-23	0	9.9	30.1	11.1
1973-03-24	0	8.6	29.6	13.5
1973-03-25	0	7.2	31.1	8.1
1973-03-26	0	7.2	32.1	8.6
1973-03-27	0	10.6	33.6	9.1
1973-03-28	0	15.1	32.1	10.1
1973-03-29	0	12	32.6	8.6
1973-03-30	0	11.7	31.1	9.1
1973-03-31	0	9.6	31.1	11.1
1973-04-01	0	8.2	32.1	8.6
1973-04-02	0	9.2	31.6	10.1
